1558807138.500026213 10 -nan -nan 2.42092e-322
1558807161.355178486 1.07438 2.81985 2.53366 1.8231e-321
1558807161.499563338 1.07862 2.82474 2.53366 2.42092e-322
1558807161.643560368 1.0833 2.83042 2.53366 1.63042e-322
1558807161.873135131 1.06344 2.80948 2.51237 2.42092e-322
1558807161.928936544 1.06123 2.80087 2.51237 1.8231e-321
1558807162.075856340 1.06066 2.79553 2.51237 1.63042e-322
1558807162.213398690 1.06197 2.79396 2.51237 1.8231e-321
1558807162.356685580 1.06496 2.79573 2.51237 2.42092e-322
1558807162.499901478 1.06919 2.80001 2.51237 1.63042e-322
1558807162.641713930 1.07497 2.80675 2.51237 2.42092e-322
1558807162.786929537 1.08131 2.81524 2.51237 2.42092e-322
1558807162.928007265 1.08803 2.82449 2.51237 2.42092e-322
1558807163.075909538 0.29474 3.23326 3.51072 2.42092e-322
1558807163.220677978 0.30759 3.25145 3.51072 2.42092e-322
1558807163.358424807 0.321484 3.27116 3.51072 1.8231e-321
1558807163.498800605 0.336359 3.29218 3.51072 2.42092e-322
1558807163.642270997 0.353316 3.31593 3.51072 2.42092e-322
1558807163.786861172 0.371077 3.3408 3.51072 1.8231e-321
1558807163.935587267 0.388402 3.36489 3.51072 1.8231e-321
1558807164.070325940 1.45753 2.62131 3.06697 1.35226e-320
1558807164.214559644 1.46999 2.64621 3.06697 2.42092e-322
1558807164.358323441 1.48318 2.67261 3.06697 2.42092e-322
1558807164.499044963 1.497 2.70024 3.06697 2.42092e-322
1558807164.642384334 1.51234 2.73093 3.06697 2.42092e-322
1558807164.786288060 1.52808 2.76239 3.06697 2.42092e-322
1558807164.927042102 1.54305 2.79235 3.06697 1.63042e-322
1558807165.070245288 1.5862 1.96209 3.52917 1.8231e-321
1558807165.214190656 1.59759 1.98391 3.52917 1.8231e-321
1558807165.356371415 1.61086 2.00935 3.52917 1.8231e-321
1558807165.500260777 1.62476 2.03599 3.52917 1.8231e-321
1558807165.646705478 1.64057 2.06629 3.52917 1.8231e-321
1558807165.785659785 1.65673 2.09726 3.52917 2.42092e-322
1558807165.933295850 1.67222 2.12695 3.52917 1.63042e-322
1558807166.073986015 1.68798 2.15716 3.52917 2.42092e-322
1558807166.265964197 0.790456 2.77434 1.17615 2.42092e-322
1558807166.363760835 0.800896 2.79463 1.17615 1.63042e-322
1558807166.499529281 0.812287 2.81654 1.17615 2.42092e-322
1558807166.641629931 0.825354 2.84111 1.17615 2.42092e-322
1558807166.784751871 0.839302 2.86786 1.17615 1.8231e-321
1558807166.928887964 0.852893 2.89345 1.17615 1.8231e-321
1558807167.074632955 0.867025 2.91992 1.17615 1.9771e-319
1558807167.272114686 1.56869 1.69121 3.06697 2.42092e-322
1558807167.356743178 1.57166 1.69679 3.06697 2.42092e-322
1558807167.500806322 1.57579 1.70396 3.06697 1.8231e-321
1558807167.642206656 1.58254 1.71633 3.06697 2.42092e-322
1558807167.789327717 1.59143 1.73273 3.06697 2.42092e-322
1558807167.927807705 1.60094 1.75063 3.06697 2.42092e-322
1558807168.085837963 1.61133 1.77033 3.06697 1.8231e-321
1558807168.259063360 0.89739 1.92721 3.06697 2.42092e-322
1558807168.360730354 0.908678 1.95165 3.06697 2.42092e-322
1558807168.500171828 0.920735 1.97757 3.06697 2.42092e-322
1558807168.655278563 0.934275 2.00637 3.06697 1.8231e-321
1558807168.785761287 0.948943 2.03693 3.06697 2.42092e-322
1558807168.936749977 0.963073 2.06378 3.06697 2.42092e-322
1558807169.071430783 0.977663 2.09145 3.06697 2.42092e-322
1558807169.214479367 0.992653 2.11985 3.06697 1.8231e-321
1558807169.473343606 1.47299 2.30996 1.91147 1.3488e-321
1558807169.498953486 1.48383 2.33322 1.91147 1.8231e-321
1558807169.642081271 1.49501 2.35768 1.91147 1.63042e-322
1558807169.786155985 1.50425 2.37816 1.91147 2.42092e-322
1558807169.927753347 1.5161 2.4037 1.91147 1.63042e-322
1558807170.079161903 1.52317 2.43144 1.91147 1.8231e-321
1558807170.214642984 1.52918 2.45732 1.91147 2.42092e-322
1558807170.469409731 0.491661 2.41947 1.89621 1.8231e-321
1558807170.499529997 0.497167 2.42845 1.89621 2.42092e-322
1558807170.642053733 0.504685 2.44061 1.89621 4.03285e-318
1558807170.791067310 0.514366 2.45563 1.89621 1.3488e-321
1558807170.928500508 0.524304 2.47141 1.89621 1.8231e-321
1558807171.075460053 0.535176 2.48883 1.89621 1.8231e-321
1558807171.213956978 0.546858 2.50773 1.89621 2.42092e-322
1558807171.364137989 0.55923 2.52793 1.89621 2.42092e-322
1558807171.498694708 0.572206 2.5493 1.89621 1.63042e-322
1558807171.662034662 1.47193 2.6798 2.50173 2.42092e-322
1558807171.786132808 1.48081 2.69082 2.50173 2.42092e-322
1558807171.927925492 1.49063 2.70406 2.50173 1.63042e-322
1558807172.072711223 1.50133 2.71902 2.50173 2.42092e-322
1558807172.214026064 1.51273 2.73542 2.50173 1.8231e-321
1558807172.357588628 1.5247 2.75294 2.50173 2.42092e-322
1558807172.499133523 1.53714 2.77151 2.50173 2.42092e-322
1558807172.642500407 1.55005 2.79116 2.50173 1.63042e-322
1558807172.873136174 1.06827 1.96878 2.50173 1.8231e-321
1558807172.927753585 1.07966 1.98867 2.50173 1.8231e-321
1558807173.077936536 1.09218 2.01093 2.50173 1.63042e-322
1558807173.213184048 1.10575 2.03533 2.50173 1.63042e-322
1558807173.357233472 1.12022 2.06163 2.50173 2.42092e-322
1558807173.500223479 1.13554 2.08967 2.50173 2.42092e-322
1558807173.643212549 1.15309 2.12183 2.50173 2.42092e-322
1558807173.858611006 1.04261 3.06113 3.05389 2.42092e-322
1558807173.927368842 1.0486 3.07571 3.05389 1.8231e-321
1558807174.071891126 1.05598 3.09264 3.05389 1.63042e-322
1558807174.214193593 1.0647 3.11161 3.05389 1.8231e-321
1558807174.360557169 1.07467 3.13223 3.05389 1.8231e-321
1558807174.499768163 1.0858 3.15417 3.05389 2.42092e-322
1558807174.643618138 1.09919 3.1795 3.05389 1.63042e-322
1558807174.787318234 1.11294 3.20442 3.05389 1.8231e-321
1558807174.929269388 1.12674 3.22894 3.05389 2.42092e-322
1558807175.070067954 1.00058 1.7513 2.53366 1.8231e-321
1558807175.213662573 1.01033 1.76761 2.53366 2.42092e-322
1558807175.358075556 1.02004 1.78576 2.53366 1.3488e-321
1558807175.499510153 1.03035 1.80274 2.53366 4.03285e-318
1558807175.643407942 1.04169 1.82056 2.53366 1.3488e-321
1558807175.786627746 1.0518 1.83716 2.53366 1.63042e-322
1558807175.929139448 1.06119 1.85393 2.53366 2.42092e-322
1558807176.069424386 1.29727 4.75843 4.29045 2.42092e-322
1558807176.214477025 1.29946 4.76364 4.29045 2.42092e-322
1558807176.358727695 1.30236 4.77011 4.29045 2.42092e-322
1558807176.499253285 1.30576 4.77745 4.29045 2.42092e-322
1558807176.642835943 1.31 4.78641 4.29045 1.8231e-321
1558807176.787564585 1.31487 4.79496 4.29045 2.42092e-322
1558807176.934929147 1.31915 4.80376 4.29045 2.42092e-322
1558807177.078553135 1.32361 4.81288 4.29045 2.42092e-322
1558807177.262741295 1.27496 2.35577 3.52917 5.58294e-322
1558807177.357015805 1.28358 2.3698 3.52917 2.42092e-322
1558807177.499925719 1.2924 2.38422 3.52917 2.42092e-322
1558807177.642778014 1.30349 2.40283 3.52917 1.8231e-321
1558807177.787723737 1.31382 2.4204 3.52917 2.42092e-322
1558807177.928948210 1.32504 2.43981 3.52917 1.8231e-321
1558807178.085793172 1.33688 2.46053 3.52917 1.63042e-322
1558807178.217427661 1.3492 2.48225 3.52917 1.8231e-321
1558807178.466411835 1.42682 2.56553 3.05389 1.63042e-322
1558807178.498148340 1.43281 2.5741 3.05389 2.42092e-322
1558807178.642771727 1.44023 2.58494 3.05389 2.42092e-322
1558807178.785975542 1.44787 2.59671 3.05389 2.42092e-322
1558807178.928151079 1.45602 2.60942 3.05389 2.42092e-322
1558807179.072533937 1.46495 2.62368 3.05389 1.8231e-321
1558807179.213759041 1.47474 2.63963 3.05389 1.8231e-321
1558807179.357030396 1.48538 2.65725 3.05389 2.42092e-322
1558807179.499791550 1.49678 2.67638 3.05389 2.42092e-322
1558807179.659378059 1.23297 2.18915 3.05389 2.42092e-322
1558807179.790460904 1.24133 2.21175 3.05389 1.8231e-321
1558807179.928669485 1.25002 2.23446 3.05389 1.8231e-321
1558807180.072125982 1.25913 2.2579 3.05389 1.8231e-321
1558807180.215083865 1.26482 2.27425 3.05389 1.8231e-321
1558807180.364949145 1.27005 2.2863 3.05389 1.8231e-321
1558807180.500213932 1.27573 2.29825 3.05389 1.8231e-321
1558807180.657052739 1.22871 1.62876 3.05389 2.42092e-322
1558807180.786235599 1.24302 1.64364 3.05389 1.8231e-321
1558807180.927311662 1.2591 1.66289 3.05389 1.8231e-321
1558807181.075681618 1.27389 1.67931 3.05389 2.42092e-322
1558807181.220302257 1.28883 1.69595 3.05389 3.21143e-322
1558807181.356237668 1.30389 1.71275 3.05389 1.8231e-321
1558807181.500609291 1.31906 1.72972 3.05389 2.42092e-322
1558807181.641852850 1.33541 1.74662 3.05389 4.79244e-322
1558807181.864989601 1.03367 2.56978 3.92215 1.63042e-322
1558807181.928150262 1.0382 2.58424 3.92215 1.63042e-322
1558807182.079443298 1.04285 2.59699 3.92215 2.42092e-322
1558807182.213751341 1.0488 2.61195 3.92215 2.42092e-322
1558807182.356578004 1.05558 2.62754 3.92215 1.8231e-321
1558807182.499347489 1.06304 2.64378 3.92215 1.63042e-322
1558807182.643598793 1.07162 2.66201 3.92215 2.42092e-322
